題目,正確答案,選項一,選項二,選項三,選項四
問題＃49⼀家公司每⽉儲存通話記錄檔。⽤⼾在呼叫後 1 年內隨機存取這些文件，但 1 年後⽤⼾很少存取這些文件。該公司希望透過讓⽤⼾能夠盡快查詢和檢索不到 1 年的文件來優化其解決⽅案。檢索舊文件的延遲是可以接受的。哪⼀種解決⽅案能夠最具成本效益地滿⾜這些要求？,, 在 Amazon S3 Glacier Instant Retrieval 中儲存帶有標籤的單⼀檔案。查詢標籤以從 S3 Glacier 即時擷取檢索文件。, 將單⼀檔案儲存在 Amazon S3 智慧分層中。1 年後，使⽤ S3 ⽣命週期策略將文件移⾄ S3 Glacier 彈性檢索。使⽤ AmazonAthena 查詢和檢索 Amazon S3 中的文件。使⽤ S3 Glacier Select 查詢並擷取 S3 Glacier 中的文件。, 將帶有標籤的單⼀檔案儲存在 Amazon S3 標準儲存中。將每個存檔的搜尋元資料儲存在 Amazon S3 標準儲存中。1 年後，使⽤S3 ⽣命週期策略將文件移⾄ S3 Glacier Instant Retrieval。透過從 Amazon S3 搜尋元資料來查詢和檢索文件。, 將單⼀檔案儲存在 Amazon S3 標準儲存中。1 年後，使⽤ S3 ⽣命週期策略將文件移⾄ S3 Glacier Deep Archive。將搜尋元資料儲存在 Amazon RDS 中。從 Amazon RDS 查詢文件。從 S3 Glacier Deep Archive 檢索文件。
"問題#50⼀家公司的⽣產⼯作負載在 1,000 個 Amazon EC2 Linux 執⾏個體上運作。此⼯作負載由第三⽅軟體提供⽀援。該公司需要盡快修補所有 EC2 執⾏個體上的第三⽅軟體，以修復關鍵安全漏洞。解決⽅案架構師應該怎麼做才能滿⾜這些要求？",, 建立⼀個 AWS Lambda 函數以將補丁套⽤到所有 EC2 執⾏個體。, 配置 AWS Systems Manager 補丁管理器以將補丁套⽤到所有 EC2 執⾏個體。, 安排 AWS Systems Manager 維護時段以將補丁套⽤到所有 EC2 執⾏個體。, 使⽤ AWS Systems Manager Run Command 執⾏⾃訂命令，將補丁套⽤到所有 EC2 執⾏個體。
問題＃51⼀家公司正在開發⼀個應⽤程序，該應⽤程式提供訂單運輸統計資訊以供 REST API 檢索。該公司希望提取運輸統計數據，將數據組織成易於閱讀的 HTML 格式，並每天早上同時將報告發送到多個電⼦郵件地址。解決⽅案架構師應該採取哪些步驟組合來滿⾜這些要求？（選兩個。）,, 配置應⽤程式以將資料傳送⾄ Amazon Kinesis Data Firehose。, 使⽤ Amazon Simple Email Service (Amazon SES) 格式化資料並透過電⼦郵件傳送報告。, 建立⼀個 Amazon EventBridge (Amazon CloudWatch Events) 計畫事件，該事件呼叫 AWS Glue 作業來查詢應⽤程式的 API 中的資料。, 建立⼀個 Amazon EventBridge (Amazon CloudWatch Events) 計畫事件，該事件呼叫 AWS Lambda 函數來查詢應⽤程式的 API 中的資料。E. 將應⽤程式資料儲存在 Amazon S3 中。建立 Amazon Simple Notication Service (Amazon SNS) 主題作為 S3 事件⽬標以透過電⼦郵件傳送報告。
問題＃52⼀家公司希望將其本地應⽤程式遷移到 AWS。該應⽤程式產⽣的輸出檔案⼤⼩從數⼗ GB 到數百 TB 不等。應⽤程式資料必須儲存在標準檔案系統結構中。該公司想要⼀個⾃動擴展的解決⽅案。具有⾼可⽤性，並且需要最⼩的營運開銷。哪種解決⽅案可以滿⾜這些要求？,, 將應⽤程式移轉到在 Amazon Elastic Container Service (Amazon ECS) 上作為容器運⾏。使⽤ Amazon S3 進⾏儲存。, 將應⽤程式移轉到在 Amazon Elastic Kubernetes Service (Amazon EKS) 上作為容器運⾏。使⽤ Amazon Elastic Block Store (AmazonEBS) 進⾏儲存。, 將應⽤程式移轉到多可⽤區 Auto Scaling 群組中的 Amazon EC2 執⾏個體。使⽤ Amazon Elastic File System (Amazon EFS) 進⾏儲存。, 將應⽤程式移轉到多可⽤區 Auto Scaling 群組中的 Amazon EC2 執⾏個體。使⽤ Amazon Elastic Block Store (Amazon EBS) 進⾏儲存。
問題＃53⼀家公司需要將其會計記錄儲存在 Amazon S3 中。記錄必須可立即存取 1 年，然後必須另外存檔 9 年。公司任何⼈，包括管理⽤⼾和 root ⽤⼾，都無法刪除整個 10 年內的記錄。記錄必須以最⼤彈性儲存。哪種解決⽅案可以滿⾜這些要求？,, 將整個 10 年期間的記錄存放在 S3 Glacier 中。使⽤存取控制策略在 10 年內拒絕刪除記錄。, 使⽤ S3 智慧分層儲存記錄。使⽤ IAM 策略拒絕刪除記錄。10 年後，更改 IAM 策略以允許刪除。, 使⽤ S3 ⽣命週期策略在 1 年後將記錄從 S3 Standard 過渡到 S3 Glacier Deep Archive。在合規模式下使⽤ S3 物件鎖定 10 年。, ⼀年後，使⽤ S3 ⽣命週期策略將記錄從 S3 Standard 轉換為 S3 One Zone-Infrequent Access (S3 One Zone-IA)。在治理模式下使⽤S3 物件鎖，有效期限為 10 年。
問題 #54⼀家公司在 AWS 上執⾏多個 Windows ⼯作負載。該公司的員⼯使⽤託管在兩個 Amazon EC2 執⾏個體上的 Windows 檔案共⽤。文件共享在它們之間同步資料並維護重複副本。該公司需要⼀個⾼度可⽤且持久的儲存解決⽅案，以保留⽤⼾⽬前存取檔案的⽅式。解決⽅案架構師應該怎麼做才能滿⾜這些要求？,, 將所有資料移轉到 Amazon S3。為使⽤者存取檔案設定 IAM ⾝份驗證。, 設定 Amazon S3 檔案閘道。在現有 EC2 執⾏個體上安裝 S3 檔案閘道。, 使⽤多可⽤區設定將檔案共⽤環境擴展到 Amazon FSx for Windows File Server。將所有資料移轉到 FSx for Windows File Server。, 使⽤多可⽤區設定將檔案共⽤環境擴展到 Amazon Elastic File System (Amazon EFS)。將所有資料移轉到 Amazon EFS。
問題 #55解決⽅案架構師正在開發包含多個⼦網路的 VPC 架構。該架構將託管使⽤ Amazon EC2 執⾏個體和 Amazon RDS 資料庫執⾏個體的應⽤程式。該架構由兩個可⽤區中的六個⼦網路組成。每個可⽤區包括⼀個公有⼦網路、⼀個私⼈⼦網路和⼀個資料庫專⽤⼦網路。只有在私有⼦網路中執⾏的 EC2 執⾏個體才能存取 RDS 資料庫。哪種解決⽅案可以滿⾜這些要求？,, 建立⼀個新的路由表，其中排除到公有⼦網路 CIDR 區塊的路由。將路由表與資料庫⼦網路關聯。, 建立⼀個安全群組，安全群組拒絕來⾃指派給公有⼦網路中的執⾏個體的安全群組的入站流量。將安全性群組附加到資料庫執⾏個體。, 建立⼀個安全性群組，允許來⾃分配給私有⼦網路中的執⾏個體的安全性群組的入站流量。將安全性群組附加到資料庫執⾏個體。, 在公有⼦網路和私有⼦網路之間建立新的對等連線。在私有⼦網路和資料庫⼦網路之間建立不同的對等連線。
問題 #56⼀家公司已在 Amazon Route 53 中註冊了其網域。該公司使⽤ ca-central-1 區域中的 Amazon API Gateway 作為其後端微服務 API 的公共介⾯。第三⽅服務安全地使⽤ API。該公司希望使⽤該公司的網域名稱和對應的憑證來設計其API網關URL，以便第三⽅服務可以使⽤HTTPS。哪種解決⽅案可以滿⾜這些要求？,," 在 API Gateway 中建立 Name=""Endpoint-URL"" 和 Value=""公司網域名稱"" 的階段變數以覆寫預設 URL。將與公司網域名稱關聯的公共憑證匯入 AWS Certicate Manager (ACM)。", 使⽤公司網域建立 Route 53 DNS 記錄。將別名記錄指向區域 API 閘道階段端點。將與公司網域名稱關聯的公共憑證匯入 us-east-1 區域中的 AWS Certicate Manager (ACM) 中。, 建立區域 API 閘道端點。將API網關端點與公司網域名稱關聯。將與公司網域名稱關聯的公共憑證匯入到相同區域的 AWSCerticate Manager (ACM) 中。將憑證附加到 API 閘道端點。設定 Route 53 以將流量路由到 API 閘道終端節點。, 建立區域 API 閘道端點。將API網關端點與公司網域名稱關聯。將與公司網域名稱關聯的公共憑證匯入 us-east-1 區域中的 AWSCerticate Manager (ACM) 中。將憑證附加到 API 網關 API。使⽤公司的網域建立 Route 53 DNS 記錄。將A記錄指向公司的網域。
問題＃57⼀家公司正在經營⼀個流⾏的社群媒體網站。該網站使⽤⼾能夠上傳圖像以與其他⽤⼾分享。該公司希望確保圖像不包含不當內容。該公司需要⼀種能夠最⼤限度地減少開發⼯作量的解決⽅案。解決⽅案架構師應該怎麼做才能滿⾜這些要求？,, 使⽤ Amazon Comprehend 偵測不當內容。使⽤⼈⼯審核進⾏低置信度預測。, 使⽤ Amazon Rekognition 偵測不當內容。使⽤⼈⼯審核進⾏低置信度預測。, 使⽤ Amazon SageMaker 偵測不當內容。使⽤基本事實來標記低置信度預測。, 使⽤ AWS Fargate 部署⾃訂機器學習模型來偵測不當內容。使⽤基本事實來標記低置信度預測。
問題＃58⼀家公司希望在容器中運⾏其關鍵應⽤程序，以滿⾜可擴展性和可⽤性的要求。該公司更願意專注於關鍵應⽤程式的維護。該公司不想負責配置和管理運作容器化⼯作負載的底層基礎架構。解決⽅案架構師應該怎麼做才能滿⾜這些要求？,, 使⽤ Amazon EC2 實例，並在執⾏個體上安裝 Docker。, 在 Amazon EC2 ⼯作執⾏緒節點上使⽤ Amazon Elastic Container Service (Amazon ECS)。, 在 AWS Fargate 上使⽤ Amazon Elastic Container Service (Amazon ECS)。, 使⽤來⾃ Amazon Elastic Container Service (Amazon ECS) 優化的 Amazon 系統映像 (AMI) 的 Amazon EC2 執⾏個體。
問題 #59⼀家公司在全球擁有 300 多個網站和應⽤程式。該公司需要⼀個平台來分析每天超過 30 TB 的點擊流資料。解決⽅案架構師應該如何傳輸和處理點擊流資料？,, 設計⼀個 AWS Data Pipeline 將資料存檔到 Amazon S3 儲存桶，並使⽤這些資料執⾏ Amazon EMR 叢集以產⽣分析。, 建立 Amazon EC2 執⾏個體的 Auto Scaling 群組來處理資料並將其傳送⾄ Amazon S3 資料湖以供 Amazon Redshift ⽤於分析。, 將資料快取⾄ Amazon CloudFront。將資料儲存在 Amazon S3 儲存桶中。當物件新增到 S3 儲存桶時。執⾏ AWS Lambda 函數來處理資料以進⾏分析。, 從 Amazon Kinesis Data Streams 收集資料。使⽤ Amazon Kinesis Data Firehose 將資料傳輸到 Amazon S3 資料湖。將資料載入到Amazon Redshift 中進⾏分析。
問題 #60⼀家公司有⼀個託管在 AWS 上的網站。該網站位於應⽤程式負載平衡器 (ALB) 後⾯，該負載平衡器配置為單獨處理 HTTP 和HTTPS。該公司希望將所有請求轉送到網站，以便請求將使⽤ HTTPS。解決⽅案架構師應該怎麼做才能滿⾜這項要求？,, 更新 ALB 的網路 ACL 以僅接受 HTTPS 流量。, 建立⼀條規則，將 URL 中的 HTTP 替換為 HTTPS。, 在 ALB 上建立偵聽器規則，將 HTTP 流量重新導向⾄ HTTPS。, 將 ALB 替換為配置為使⽤伺服器名稱指⽰ (SNI) 的網路負載平衡器。
問題#61⼀家公司正在 AWS 上開發兩層 Web 應⽤程式。該公司的開發⼈員已將該應⽤程式部署在直接連接到後端 Amazon RDS 資料庫的Amazon EC2 執⾏個體上。本公司不得在應⽤程式中對資料庫憑證進⾏硬編碼。該公司還必須實施⼀種解決⽅案來定期⾃動輪換資料庫憑證。哪種解決⽅案能夠以最少的營運開銷滿⾜這些要求？,, 將資料庫憑證儲存在實例元資料中。使⽤ Amazon EventBridge (Amazon CloudWatch Events) 規則執⾏計畫的 AWS Lambda 函數，該函數會同時更新 RDS 憑證和執⾏個體元資料。, 將資料庫憑證儲存在加密的 Amazon S3 儲存桶的設定檔中。使⽤ Amazon EventBridge (Amazon CloudWatch Events) 規則執⾏計畫的 AWS Lambda 函數，該函數會同時更新 RDS 憑證和設定檔中的憑證。使⽤ S3 版本控制來確保能夠回退到先前的值。, 將資料庫憑證儲存在 AWS Secrets Manager 中作為⾦鑰。打開秘密的⾃動旋轉。將所需的權限附加到 EC2 ⾓⾊以授予對⾦鑰的存取權限。, 將資料庫憑證作為加密參數儲存在 AWS Systems Manager Parameter Store 中。開啟加密參數的⾃動輪換。將所需的權限附加到EC2 ⾓⾊以授予對加密參數的存取權限。
問題 #62⼀家公司正在將新的公共 Web 應⽤程式部署到 AWS。該應⽤程式將在應⽤程式負載平衡器 (ALB) 後⾯運⾏。應⽤程式需要使⽤外部憑證授權單位 (CA) 頒發的 SSL/TLS 憑證在邊緣進⾏加密。每年在證書到期前必須輪換證書。解決⽅案架構師應該怎麼做才能滿⾜這些要求？,, 使⽤ AWS Certicate Manager (ACM) 核發 SSL/TLS 憑證。將證書應⽤到 ALB。使⽤託管續約功能⾃動輪換憑證。, 使⽤ AWS Certicate Manager (ACM) 核發 SSL/TLS 憑證。從憑證中匯入密鑰材料。將憑證套⽤到 AL 使⽤託管續約功能⾃動輪換憑證。, 使⽤ AWS Certicate Manager (ACM) 私有憑證授權單位從根 CA 頒發 SSL/TLS 憑證。將證書應⽤到 ALB。使⽤託管續約功能⾃動輪換憑證。, 使⽤ AWS Certicate Manager (ACM) 匯入 SSL/TLS 憑證。將證書應⽤到 ALB。使⽤ Amazon EventBridge (Amazon CloudWatchEvents) 在憑證即將過期時發送通知。⼿動輪換證書。
問題 #63⼀家公司在 AWS 上運⾏其基礎設施，其文件管理應⽤程式擁有 70 萬名註冊⽤⼾。該公司打算創建⼀種將⼤型 .pdf 檔案轉換為 .jpg圖像檔案的產品。.pdf 檔案平均⼤⼩為 5 MB。公司需要儲存原始文件和轉換後的文件。解決⽅案架構師必須設計可擴展的解決⽅案來滿⾜隨著時間的推移⽽快速增⻑的需求。哪種解決⽅案最經濟有效率地滿⾜這些要求？,, 將 .pdf 檔案儲存到 Amazon S3。配置 S3 PUT 事件以呼叫 AWS Lambda 函數將檔案轉換為 .jpg 格式並將其儲存回 Amazon S3。, 將 .pdf 檔案儲存到 Amazon DynamoD 使⽤ DynamoDB Streams 功能呼叫 AWS Lambda 函數將檔案轉換為 .jpg 格式並將其儲存回DynamoDB。, 將 .pdf 檔案上傳到 AWS Elastic Beanstalk 應⽤程序，其中包括 Amazon EC2 執⾏個體、Amazon Elastic Block Store (Amazon EBS) 儲存和 Auto Scaling 群組。使⽤ EC2 執⾏個體中的程式將檔案轉換為 .jpg 格式。將 .pdf 檔案和 .jpg 檔案保存在 EBS 儲存中。, 將 .pdf 檔案上傳到 AWS Elastic Beanstalk 應⽤程序，其中包括 Amazon EC2 執⾏個體、Amazon Elastic File System (Amazon EFS) 儲存和 Auto Scaling 群組。使⽤ EC2 執⾏個體中的程式將檔案轉換為 .jpg 格式。將 .pdf 檔案和 .jpg 檔案保存在 EBS 儲存中。
問題#64⼀家公司在本地運⾏的 Windows 檔案伺服器上擁有超過 5 TB 的檔案資料。⽤⼾和應⽤程式每天都與數據互動。該公司正在將其 Windows ⼯作負載遷移到 AWS。隨著公司繼續這⼀流程，公司需要以最⼩的延遲存取 AWS 和本地文件儲存。該公司需要⼀種能夠最⼤限度地減少營運開銷並且不需要對現有文件存取模式進⾏重⼤更改的解決⽅案。該公司使⽤ AWS 站點到站點 VPN連線來連接到 AWS。解決⽅案架構師應該怎麼做才能滿⾜這些要求？,, 在 AWS 上部署和設定 Amazon FSx for Windows File Server。將本機檔案資料移⾄ FSx for Windows File Server。重新配置⼯作負載以使⽤ FSx for Windows File Server on AWS。, 在本機部署和設定 Amazon S3 檔案閘道。將本機檔案資料移⾄ S3 檔案網關。重新配置本機⼯作負載和雲端⼯作負載以使⽤ S3檔案閘道。, 在本機部署和設定 Amazon S3 檔案閘道。將本機檔案資料移⾄ Amazon S3。重新配置⼯作負載以直接使⽤ Amazon S3 或 S3 檔案閘道。取決於每個⼯作負載的位置。, 在 AWS 上部署和設定 Amazon FSx for Windows File Server。在本機部署和設定 Amazon FSx 檔案閘道。將本機檔案資料移⾄ FSx檔案閘道。配置雲端⼯作負載以使⽤ FSx for Windows File Server on AWS。設定本機⼯作負載以使⽤ FSx 檔案閘道。
問題 #65⼀家醫院最近使⽤ Amazon API Gateway 和 AWS Lambda 部署了 RESTful API。醫院使⽤ API Gateway 和 Lambda 上傳 PDF 格式和 JPEG 格式的報告。醫院需要修改 Lambda 代碼以識別報告中的受保護健康資訊 (PHI)。哪種解決⽅案能夠以最少的營運開銷滿⾜這些要求？,, 使⽤現有的 Python 庫從報告中提取文字並從提取的文本中識別 PHI。, 使⽤ Amazon Textract 從報告中提取文字。使⽤ Amazon SageMaker 從擷取的文字中識別 PHI。, 使⽤ Amazon Textract 從報告中提取文字。使⽤ Amazon Comprehend Medical 從提取的文本中識別 PHI。, 使⽤ Amazon Rekognition 從報告中提取文字。使⽤ Amazon Comprehend Medical 從提取的文本中識別 PHI。
問題 #66⼀家公司的應⽤程式會產⽣⼤量文件，每個文件⼤⼩約為 5 MB。這些檔案儲存在 Amazon S3 中。公司政策要求文件保存 4 年才能刪除。由於文件包含不易複製的關鍵業務數據，因此始終需要立即可存取。這些文件在物件創建後的前 30 天內存取頻繁，但在前 30天後很少存取。哪種儲存解決⽅案最具成本效益？,, 建立 S3 儲存桶⽣命週期策略，以便在物件建立後 30 天將檔案從 S3 Standard 移⾄ S3 Glacier。物件建立 4 年後刪除檔案。, 建立 S3 儲存桶⽣命週期策略，以便在物件建立後 30 天將檔案從 S3 Standard 移⾄ S3 One Zone-Infrequent Access (S3 One Zone-IA)。物件建立 4 年後刪除檔案。, 建立 S3 儲存桶⽣命週期策略，以便在物件建立後 30 天將檔案從 S3 Standard 移⾄ S3 Standard-Infrequent Access (S3 Standard-IA)。物件建立 4 年後刪除檔案。, 建立 S3 儲存桶⽣命週期策略，以便在物件建立後 30 天將檔案從 S3 Standard 移⾄ S3 Standard-Infrequent Access (S3 Standard-IA)。物件建立 4 年後將檔案移⾄ S3 Glacier。
問題 #67⼀家公司在多個 Amazon EC2 執⾏個體上託管應⽤程式。該應⽤程式處理來⾃ Amazon SQS 佇列的訊息、寫入 Amazon RDS 表以及從佇列中刪除訊息。RDS表中偶爾會發現重複記錄。SQS 佇列不包含任何重複訊息。解決⽅案架構師應該做什麼來確保訊息只被處理⼀次？,, 使⽤ CreateQueue API 呼叫建立新佇列。, 使⽤ AddPermission API 呼叫新增適當的權限。, 使⽤ ReceiveMessage API 呼叫設定適當的等待時間。, 使⽤ ChangeMesageVisibility API 呼叫來增加可⾒性逾時。
問題 #68解決⽅案架構師正在設計⼀個新的混合架構，以將公司的本地基礎架構擴展到 AWS。該公司需要與 AWS 區域建立⾼度可⽤且始終保持低延遲的連線。該公司需要最⼤限度地降低成本，並願意在主連接發⽣故障時接受較慢的流量。解決⽅案架構師應該怎麼做才能滿⾜這些要求？,, 設定與某個區域的 AWS Direct Connect 連線。如果主要 Direct Connect 連線失敗，則設定 VPN 連線作為備份。, 提供到區域的 VPN 隧道連線以專⽤連線。為專⽤連線配置第⼆個 VPN 隧道，並在主 VPN 連線失敗時作為備份。, 設定與某個區域的 AWS Direct Connect 連線。如果主 Direct Connect 連線失敗，則向相同區域設定第⼆個 Direct Connect 連線作為備份。, 設定與區域的 AWS Direct Connect 連線。如果主 Direct Connect 連線失敗，請使⽤ AWS CLI 中的 Direct Connect 故障轉移屬性⾃動建立備份連線。
問題 #69⼀家公司正在應⽤程式負載平衡器後⾯的 Amazon EC2 執⾏個體上執⾏業務關鍵型 Web 應⽤程式。EC2 執⾏個體位於 Auto Scaling 群組中。該應⽤程式使⽤部署在單⼀可⽤區中的 Amazon Aurora PostgreSQL 資料庫。該公司希望應⽤程式具有⾼可⽤性，同時最⼤限度地減少停機時間和資料遺失。哪種解決⽅案能夠以最少的操作⼯作滿⾜這些要求？,, 將 EC2 執⾏個體放置在不同的 AWS 區域。使⽤ Amazon Route 53 運作狀況檢查來重定向流量。使⽤ Aurora PostgreSQL 跨區域複製。, 配置 Auto Scaling 組以使⽤多個可⽤區。將資料庫配置為多可⽤區。為資料庫配置 Amazon RDS 代理執⾏個體。, 配置 Auto Scaling 群組以使⽤⼀個可⽤區。產⽣資料庫的每⼩時快照。發⽣故障時從快照還原資料庫。, 配置 Auto Scaling 群組以使⽤多個 AWS 區域。將資料從應⽤程式寫入 Amazon S3。使⽤ S3 事件通知啟動 AWS Lambda 函數以將資料寫入資料庫。
問題#70該公司的 HTTP 應⽤程式位於網路負載平衡器 (NLB) 後⾯。NLB 的⽬標群組配置為使⽤具有多個執⾏ Web 服務的 EC2 執⾏個體的Amazon EC2 Auto Scaling 群組。該公司注意到 NLB 沒有偵測到應⽤程式的 HTTP 錯誤。這些錯誤需要⼿動重新啟動執⾏ Web 服務的 EC2 執⾏個體。該公司需要在不編寫⾃訂腳本或程式碼的情況下提⾼應⽤程式的可⽤性。解決⽅案架構師應該怎麼做才能滿⾜這些要求？,, 在 NLB 上啟⽤ HTTP 運⾏狀況檢查，提供公司應⽤程式的 URL。, 在 EC2 執⾏個體中新增⼀個 cron 作業，每分鐘檢查⼀次本機應⽤程式的⽇誌。如果偵測到 HTTP 錯誤。應⽤程式將重新啟動。, 將 NLB 替換為應⽤程式負載平衡器。透過提供公司應⽤程式的 URL 啟⽤ HTTP 運⾏狀況檢查。配置 Auto Scaling 操作以取代不健康的實例。, 建立 Amazon Cloud Watch 警報來監控 NLB 的 UnhealthyHostCount 指標。配置 Auto Scaling 操作以在警報處於 ALARM 狀態時取代不健康的實例。
問題#71⼀家公司運⾏⼀個購物應⽤程序，該應⽤程式使⽤ Amazon DynamoDB 來儲存客⼾資訊。如果發⽣資料損壞，解決⽅案架構師需要設計⼀個滿⾜ 15 分鐘恢復點⽬標 (RPO) 和 1 ⼩時復原時間⽬標 (RTO) 的解決⽅案。解決⽅案架構師應該建議什麼來滿⾜這些要求？,, 設定 DynamoDB 全域表。對於 RPO 恢復，請將應⽤程式指向不同的 AWS 區域。, 配置 DynamoDB 時間點復原。對於RPO恢復，恢復到所需的時間點。, 每天將 DynamoDB 資料匯出到 Amazon S3 Glacier。對於 RPO 恢復，請將資料從 S3 Glacier 匯入到 DynamoDB。, 每 15 分鐘為 DynamoDB 表格安排⼀次 Amazon Elastic Block Store (Amazon EBS) 快照。對於 RPO 恢復，請使⽤ EBS 快照還原DynamoDB 表。
問題 #72⼀家公司運⾏⼀個照片處理應⽤程序，需要頻繁地從位於相同 AWS 區域的 Amazon S3 儲存桶上傳和下載圖片。解決⽅案架構師注意到資料傳輸費⽤的成本增加，需要實施解決⽅案來降低這些成本。解決⽅案架構師如何滿⾜這項要求？,, 將 Amazon API Gateway 部署到公有⼦網路並調整路由表以透過它路由 S3 呼叫。, 將 NAT 閘道部署到公有⼦網路中，並附加允許存取 S3 儲存桶的端點策略。, 將應⽤程式部署到公共⼦網路中，並允許其透過網際網路閘道路由以存取 S3 儲存桶。, 將 S3 VPC 閘道端點部署到 VPC 中，並附加允許存取 S3 儲存桶的端點策略。
問題 #73⼀家公司最近在私有⼦網路中的 Amazon EC2 上啟動了基於 Linux 的應⽤程式實例，並在 VPC 的公有⼦網路中的 Amazon EC2 執⾏個體上啟動了基於 Linux 的堡壘主機。解決⽅案架構師需要透過公司的 Internet 連接從本地網路連接到堡壘主機和應⽤程式伺服器。解決⽅案架構師必須確保所有 EC2 執⾏個體的安全性群組都允許該存取。解決⽅案架構師應該採取哪些步驟組合來滿⾜這些要求？（選兩個。）,, 將堡壘主機的⽬前安全性群組替換為僅允許來⾃應⽤程式實例的入站存取的安全群組。, 將堡壘主機⽬前的安全群組替換為僅允許來⾃公司內部 IP 範圍的入站存取的安全群組。, 將堡壘主機⽬前的安全性群組替換為僅允許來⾃公司外部 IP 範圍的入站存取的安全群組。, 將應⽤程式執⾏個體的⽬前安全群組替換為僅允許來⾃堡壘主機的私⼈ IP 位址的入站 SSH 存取的安全群組。E. 將應⽤程式執⾏個體的⽬前安全群組替換為僅允許從堡壘主機的公⽤ IP 位址進⾏入站 SSH 存取的安全群組。
問題 #74解決⽅案架構師正在設計⼀個兩層 Web 應⽤程式。該應⽤程式由託管在公有⼦網路中的 Amazon EC2 上的⾯向公眾的 Web 層組成。資料庫層由在私有⼦網路中的 Amazon EC2 上執⾏的 Microsoft SQL Server 所組成。安全是公司的重中之重。這種情況應該如何配置安全群組呢？（選兩個。）,, 設定 Web 層的安全群組以允許連接埠 443 上來⾃ 0.0.0.0/0 的入站流量。, 設定 Web 層的安全群組以允許連接埠 443 上來⾃ 0.0.0.0/0 的出站流量。, 設定資料庫層的安全性群組以允許連接埠 1433 上來⾃ Web 層安全群組的入站流量。, 設定資料庫層的安全性群組，以允許連接埠 443 和 1433 上的出站流量到達 Web 層的安全性群組。E. 設定資料庫層的安全性群組，以允許來⾃ Web 層安全群組的連接埠 443 和 1433 上的入站流量。
問題 #75⼀家公司希望將多層應⽤程式從本地遷移到 AWS 雲，以提⾼應⽤程式的效能。該應⽤程式由透過 RESTful 服務相互通訊的應⽤程式層組成。當⼀層超載時，事務將被丟棄。解決⽅案架構師必須設計⼀個解決⽅案來解決這些問題並使應⽤程式現代化。哪種解決⽅案滿⾜這些要求且營運效率最⾼？,, 使⽤ Amazon API Gateway 並將交易直接傳送到作為應⽤程式層的 AWS Lambda 函數。使⽤ Amazon Simple Queue Service (AmazonSQS) 作為應⽤程式服務之間的通訊層。, 使⽤ Amazon CloudWatch 指標分析應⽤程式效能歷史記錄，以確定效能故障期間伺服器的峰值使⽤率。增加應⽤程式伺服器的Amazon EC2 執⾏個體的⼤⼩以滿⾜峰值要求。, 使⽤ Amazon Simple Notication Service (Amazon SNS) 處理 Auto Scaling 群組中 Amazon EC2 上執⾏的應⽤程式伺服器之間的訊息傳遞。使⽤ Amazon CloudWatch 監控 SNS 佇列⻑度並根據需要進⾏擴展和縮減。, 使⽤ Amazon Simple Queue Service (Amazon SQS) 處理 Auto Scaling 群組中 Amazon EC2 上執⾏的應⽤程式伺服器之間的訊息傳遞。使⽤ Amazon CloudWatch 監控 SQS 佇列⻑度並在偵測到通訊故障時進⾏擴充。
問題 #76⼀家公司每天從位於同⼀⼯廠的多台機器接收 10 TB 的儀器資料。資料由儲存在⼯廠內本地資料中⼼的儲存區域網路 (SAN) 上的JSON 檔案組成。該公司希望將這些數據發送到 Amazon S3，幾個提供關鍵近即時分析的附加系統可以存取這些數據。安全傳輸很重要，因為資料被認為是敏感的。哪⼀種解決⽅案提供最可靠的資料傳輸？,, 透過公共互聯網的 AWS DataSync, 透過 AWS Direct Connect 的 AWS DataSync, 透過公共互聯網的 AWS Database Migration Service (AWS DMS), 透過 AWS Direct Connect 的 AWS Database Migration Service (AWS DMS)
問題 #77公司需要為其應⽤程式配置即時資料攝取架構。該公司需要⼀個 API、⼀個在資料串流時轉換資料的流程以及資料儲存解決⽅案。哪種解決⽅案能夠以最少的營運開銷滿⾜這些要求？,, 部署 Amazon EC2 執⾏個體來託管將資料傳送⾄ Amazon Kinesis 資料流的 API。建立使⽤ Kinesis 資料流作為資料來源的 AmazonKinesis Data Firehose 傳輸流。使⽤ AWS Lambda 函數轉換資料。使⽤ Kinesis Data Firehose 傳輸流將資料傳送到 Amazon S3。, 部署 Amazon EC2 執⾏個體來託管將資料傳送到 AWS Glue 的 API。停⽌對 EC2 執⾏個體進⾏來源/⽬標檢查。使⽤ AWS Glue 轉換資料並將資料傳送到 Amazon S3。, 配置 Amazon API Gateway API 以將資料傳送⾄ Amazon Kinesis 資料流。建立使⽤ Kinesis 資料流作為資料來源的 Amazon KinesisData Firehose 傳輸流。使⽤ AWS Lambda 函數轉換資料。使⽤ Kinesis Data Firehose 傳輸流將資料傳送到 Amazon S3。, 配置 Amazon API Gateway API 以將資料傳送⾄ AWS Glue。使⽤ AWS Lambda 函數轉換資料。使⽤ AWS Glue 將資料傳送到Amazon S3。
